,sample_id,study,project,condition,rep_id,Strain Description,Strain,Culture Type,Evolved Sample,Base Media,Temperature (C),pH,Carbon Source (g/L),Nitrogen Source (g/L),Electron Acceptor,Trace Element Mixture,Supplement,Antibiotic for selection,Growth Rate (1/hr),Isolate Type,Additional Details,project_reference,Sequencing Machine,LibraryLayout,Platform,Biological Replicates,DOI,GEO,SRX,Run,R1,R2,contact,creator,passed_fastqc,passed_pct_reads_mapped,passed_reads_mapped_to_CDS,passed_global_correlation,full_name,passed_similar_replicates,passed_number_replicates,run_date
p1k_00257,efeU__delmenFentC__1,Pseudogene Repair,efeU,delmenFentC,1,Escherichia coli K-12 MG1655 del_menF del_entC,MG1655,Batch,No,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,,,p1k_00257;p1k_00258,HiSeq 4000,PAIRED,ILLUMINA,2,doi.org/10.1038/s41564-018-0340-2,GSE122779,SRX5036613,SRR8218065,s3://precise-db/raw_data/efeU/SRR8218065_1.fastq.gz,s3://precise-db/raw_data/efeU/SRR8218065_2.fastq.gz,Amitesh Anand,Richard Szubin,TRUE,TRUE,TRUE,TRUE,efeU:delmenFentC,TRUE,TRUE,5/21/18
p1k_00258,efeU__delmenFentC__2,Pseudogene Repair,efeU,delmenFentC,2,Escherichia coli K-12 MG1655 del_menF del_entC,MG1655,Batch,No,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,,,p1k_00257;p1k_00258,HiSeq 4000,PAIRED,ILLUMINA,2,doi.org/10.1038/s41564-018-0340-2,GSE122779,SRX5036614,SRR8218066,s3://precise-db/raw_data/efeU/SRR8218066_1.fastq.gz,s3://precise-db/raw_data/efeU/SRR8218066_2.fastq.gz,Amitesh Anand,Richard Szubin,TRUE,TRUE,TRUE,TRUE,efeU:delmenFentC,TRUE,TRUE,5/21/18
p1k_00259,efeU__menFentC_ale39__1,Pseudogene Repair,efeU,menFentC_ale39,1,Escherichia coli EEP_menF_entC.39.91.1,MG1655,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,0.98,Clonal,,p1k_00257;p1k_00258,HiSeq 4000,PAIRED,ILLUMINA,2,doi.org/10.1038/s41564-018-0340-2,GSE122779,SRX5036615,SRR8218067,s3://precise-db/raw_data/efeU/SRR8218067_1.fastq.gz,s3://precise-db/raw_data/efeU/SRR8218067_2.fastq.gz,Amitesh Anand,Richard Szubin,TRUE,TRUE,TRUE,TRUE,efeU:menFentC_ale39,TRUE,TRUE,5/21/18
p1k_00260,efeU__menFentC_ale39__2,Pseudogene Repair,efeU,menFentC_ale39,2,Escherichia coli EEP_menF_entC.39.91.1,MG1655,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,0.98,Clonal,,p1k_00257;p1k_00258,HiSeq 4000,PAIRED,ILLUMINA,2,doi.org/10.1038/s41564-018-0340-2,GSE122779,SRX5036616,SRR8218068,s3://precise-db/raw_data/efeU/SRR8218068_1.fastq.gz,s3://precise-db/raw_data/efeU/SRR8218068_2.fastq.gz,Amitesh Anand,Richard Szubin,TRUE,TRUE,TRUE,TRUE,efeU:menFentC_ale39,TRUE,TRUE,5/21/18
p1k_00261,efeU__menFentC_ale29__1,Pseudogene Repair,efeU,menFentC_ale29,1,Escherichia coli EEP_menF_entC.29.82.1,MG1655,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,FeCl3 (20 uM) + Na-citrate (10 mM),,0.9,Clonal,,p1k_00257;p1k_00258,HiSeq 4000,PAIRED,ILLUMINA,2,doi.org/10.1038/s41564-018-0340-2,GSE122779,SRX5036617,SRR8218069,s3://precise-db/raw_data/efeU/SRR8218069_1.fastq.gz,s3://precise-db/raw_data/efeU/SRR8218069_2.fastq.gz,Amitesh Anand,Richard Szubin,TRUE,TRUE,TRUE,TRUE,efeU:menFentC_ale29,TRUE,TRUE,5/21/18
p1k_00262,efeU__menFentC_ale29__2,Pseudogene Repair,efeU,menFentC_ale29,2,Escherichia coli EEP_menF_entC.29.82.1,MG1655,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,FeCl3 (20 uM) + Na-citrate (10 mM),,0.9,Clonal,,p1k_00257;p1k_00258,HiSeq 4000,PAIRED,ILLUMINA,2,doi.org/10.1038/s41564-018-0340-2,GSE122779,SRX5036618,SRR8218070,s3://precise-db/raw_data/efeU/SRR8218070_1.fastq.gz,s3://precise-db/raw_data/efeU/SRR8218070_2.fastq.gz,Amitesh Anand,Richard Szubin,TRUE,TRUE,TRUE,TRUE,efeU:menFentC_ale29,TRUE,TRUE,5/21/18
p1k_00263,efeU__menFentC_ale30__1,Pseudogene Repair,efeU,menFentC_ale30,1,Escherichia coli EEP_menF_entC.30.83.1,MG1655,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,FeCl3 (20 uM) + Na-citrate (10 mM),,0.95,Clonal,,p1k_00257;p1k_00258,HiSeq 4000,PAIRED,ILLUMINA,2,doi.org/10.1038/s41564-018-0340-2,GSE122779,SRX5036619,SRR8218071,s3://precise-db/raw_data/efeU/SRR8218071_1.fastq.gz,s3://precise-db/raw_data/efeU/SRR8218071_2.fastq.gz,Amitesh Anand,Richard Szubin,TRUE,TRUE,TRUE,TRUE,efeU:menFentC_ale30,TRUE,TRUE,5/21/18
p1k_00264,efeU__menFentC_ale30__2,Pseudogene Repair,efeU,menFentC_ale30,2,Escherichia coli EEP_menF_entC.30.83.1,MG1655,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,FeCl3 (20 uM) + Na-citrate (10 mM),,0.95,Clonal,,p1k_00257;p1k_00258,HiSeq 4000,PAIRED,ILLUMINA,2,doi.org/10.1038/s41564-018-0340-2,GSE122779,SRX5036620,SRR8218072,s3://precise-db/raw_data/efeU/SRR8218072_1.fastq.gz,s3://precise-db/raw_data/efeU/SRR8218072_2.fastq.gz,Amitesh Anand,Richard Szubin,TRUE,TRUE,TRUE,TRUE,efeU:menFentC_ale30,TRUE,TRUE,5/21/18
p1k_00265,efeU__menFentCubiC_ale36__1,Pseudogene Repair,efeU,menFentCubiC_ale36,1,Escherichia coli EEP_menF_entC_ubiC.36.86.1,MG1655,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,0.58,Clonal,Also used in quinone study,p1k_00257;p1k_00258,HiSeq 4000,PAIRED,ILLUMINA,2,doi.org/10.1038/s41564-018-0340-2,GSE122779,SRX5036621,SRR8218073,s3://precise-db/raw_data/efeU/SRR8218073_1.fastq.gz,s3://precise-db/raw_data/efeU/SRR8218073_2.fastq.gz,Amitesh Anand,Richard Szubin,TRUE,TRUE,TRUE,TRUE,efeU:menFentCubiC_ale36,TRUE,TRUE,5/21/18
p1k_00266,efeU__menFentCubiC_ale36__2,Pseudogene Repair,efeU,menFentCubiC_ale36,2,Escherichia coli EEP_menF_entC_ubiC.36.86.1,MG1655,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,0.58,Clonal,Also used in quinone study,p1k_00257;p1k_00258,HiSeq 4000,PAIRED,ILLUMINA,2,doi.org/10.1038/s41564-018-0340-2,GSE122779,SRX5036622,SRR8218074,s3://precise-db/raw_data/efeU/SRR8218074_1.fastq.gz,s3://precise-db/raw_data/efeU/SRR8218074_2.fastq.gz,Amitesh Anand,Richard Szubin,TRUE,TRUE,TRUE,TRUE,efeU:menFentCubiC_ale36,TRUE,TRUE,5/21/18
p1k_00267,efeU__menFentCubiC_ale37__1,Pseudogene Repair,efeU,menFentCubiC_ale37,1,Escherichia coli EEP_menF_entC_ubiC.37.25.1,MG1655,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,0.46,Clonal,Also used in quinone study,p1k_00257;p1k_00258,HiSeq 4000,PAIRED,ILLUMINA,2,doi.org/10.1038/s41564-018-0340-2,GSE122779,SRX5036623,SRR8218075,s3://precise-db/raw_data/efeU/SRR8218075_1.fastq.gz,s3://precise-db/raw_data/efeU/SRR8218075_2.fastq.gz,Amitesh Anand,Richard Szubin,TRUE,TRUE,TRUE,TRUE,efeU:menFentCubiC_ale37,TRUE,TRUE,5/21/18
p1k_00268,efeU__menFentCubiC_ale37__2,Pseudogene Repair,efeU,menFentCubiC_ale37,2,Escherichia coli EEP_menF_entC_ubiC.37.25.1,MG1655,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,0.46,Clonal,Also used in quinone study,p1k_00257;p1k_00258,HiSeq 4000,PAIRED,ILLUMINA,2,doi.org/10.1038/s41564-018-0340-2,GSE122779,SRX5036624,SRR8218076,s3://precise-db/raw_data/efeU/SRR8218076_1.fastq.gz,s3://precise-db/raw_data/efeU/SRR8218076_2.fastq.gz,Amitesh Anand,Richard Szubin,TRUE,TRUE,TRUE,TRUE,efeU:menFentCubiC_ale37,TRUE,TRUE,5/21/18
p1k_00269,efeU__menFentCubiC_ale38__1,Pseudogene Repair,efeU,menFentCubiC_ale38,1,Escherichia coli EEP_menF_entC_ubiC.38.28.1,MG1655,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,0.58,Clonal,Also used in quinone study,p1k_00257;p1k_00258,HiSeq 4000,PAIRED,ILLUMINA,2,doi.org/10.1038/s41564-018-0340-2,GSE122779,SRX5036625,SRR8218077,s3://precise-db/raw_data/efeU/SRR8218077_1.fastq.gz,s3://precise-db/raw_data/efeU/SRR8218077_2.fastq.gz,Amitesh Anand,Richard Szubin,TRUE,TRUE,TRUE,TRUE,efeU:menFentCubiC_ale38,TRUE,TRUE,5/21/18
p1k_00270,efeU__menFentCubiC_ale38__2,Pseudogene Repair,efeU,menFentCubiC_ale38,2,Escherichia coli EEP_menF_entC_ubiC.38.28.1,MG1655,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,0.58,Clonal,Also used in quinone study,p1k_00257;p1k_00258,HiSeq 4000,PAIRED,ILLUMINA,2,doi.org/10.1038/s41564-018-0340-2,GSE122779,SRX5036626,SRR8218078,s3://precise-db/raw_data/efeU/SRR8218078_1.fastq.gz,s3://precise-db/raw_data/efeU/SRR8218078_2.fastq.gz,Amitesh Anand,Richard Szubin,TRUE,TRUE,TRUE,TRUE,efeU:menFentCubiC_ale38,TRUE,TRUE,5/21/18
p1k_00271,misc2__salc_glc__1,Miscellaneous #2,misc2,salc_glc,1,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,glucose(2),NH4Cl(1),O2,sauer trace element mixture,salicylate,,0.22,,,p1k_00001;p1k_00002,HiSeq 4000,PAIRED,ILLUMINA,2,,,,,s3://precise-db/raw_data/misc2/ica__salc__1.R1.fastq.gz,s3://precise-db/raw_data/misc2/ica__salc__1.R2.fastq.gz,Anand Sastry,Sibei Xu,TRUE,TRUE,TRUE,TRUE,misc2:salc_glc,TRUE,TRUE,10/17/18
p1k_00272,misc2__salc_glc__2,Miscellaneous #2,misc2,salc_glc,2,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,glucose(2),NH4Cl(1),O2,sauer trace element mixture,salicylate,,0.22,,,p1k_00001;p1k_00002,HiSeq 4000,PAIRED,ILLUMINA,2,,,,,s3://precise-db/raw_data/misc2/ica__salc__2.R1.fastq.gz,s3://precise-db/raw_data/misc2/ica__salc__2.R2.fastq.gz,Anand Sastry,Sibei Xu,TRUE,TRUE,TRUE,TRUE,misc2:salc_glc,TRUE,TRUE,10/17/18
p1k_00273,misc2__dbcn_glc__1,Miscellaneous #2,misc2,dbcn_glc,1,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,glucose(2),NH4Cl(1),O2,sauer trace element mixture,dibucaine,,0.32,,,p1k_00001;p1k_00002,HiSeq 4000,PAIRED,ILLUMINA,2,,,,,s3://precise-db/raw_data/misc2/ica__dbc_glc__1.R1.fastq.gz,s3://precise-db/raw_data/misc2/ica__dbc_glc__1.R2.fastq.gz,Anand Sastry,Sibei Xu,TRUE,TRUE,TRUE,TRUE,misc2:dbcn_glc,TRUE,TRUE,10/17/18
p1k_00274,misc2__dbcn_glc__2,Miscellaneous #2,misc2,dbcn_glc,2,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,glucose(2),NH4Cl(1),O2,sauer trace element mixture,dibucaine,,0.32,,,p1k_00001;p1k_00002,HiSeq 4000,PAIRED,ILLUMINA,2,,,,,s3://precise-db/raw_data/misc2/ica__dbc_glc__2.R1.fastq.gz,s3://precise-db/raw_data/misc2/ica__dbc_glc__2.R2.fastq.gz,Anand Sastry,Sibei Xu,TRUE,TRUE,TRUE,TRUE,misc2:dbcn_glc,TRUE,TRUE,10/17/18
p1k_00275,misc2__tyr_glc__1,Miscellaneous #2,misc2,tyr_glc,1,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,glucose(2),NH4Cl(1),O2,sauer trace element mixture,tyrosine (5mM),,0.77,,,p1k_00001;p1k_00002,HiSeq 4000,PAIRED,ILLUMINA,2,,,,,s3://precise-db/raw_data/misc2/PAL006_S33_L002_R1_001.fastq.gz,s3://precise-db/raw_data/misc2/PAL006_S33_L002_R2_001.fastq.gz,Anand Sastry,Sibei Xu,TRUE,TRUE,TRUE,TRUE,misc2:tyr_glc,TRUE,TRUE,10/17/18
p1k_00276,misc2__tyr_glc__2,Miscellaneous #2,misc2,tyr_glc,2,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,glucose(2),NH4Cl(1),O2,sauer trace element mixture,tyrosine (5mM),,0.77,,,p1k_00001;p1k_00002,HiSeq 4000,PAIRED,ILLUMINA,2,,,,,s3://precise-db/raw_data/misc2/PAL007_S34_L002_R1_001.fastq.gz,s3://precise-db/raw_data/misc2/PAL007_S34_L002_R2_001.fastq.gz,Anand Sastry,Sibei Xu,TRUE,TRUE,TRUE,TRUE,misc2:tyr_glc,TRUE,TRUE,10/17/18
p1k_00277,misc2__arg_cytd__1,Miscellaneous #2,misc2,arg_cytd,1,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,glucose(2),NH4Cl(1),O2,sauer trace element mixture,cytidine (1mM) + arginine (5mM),,0.67,,,p1k_00001;p1k_00002,HiSeq 4000,PAIRED,ILLUMINA,2,,,,,s3://precise-db/raw_data/misc2/PAL008_S35_L002_R1_001.fastq.gz,s3://precise-db/raw_data/misc2/PAL008_S35_L002_R2_001.fastq.gz,Anand Sastry,Sibei Xu,TRUE,TRUE,TRUE,TRUE,misc2:arg_cytd,TRUE,TRUE,10/17/18
p1k_00278,misc2__arg_cytd__2,Miscellaneous #2,misc2,arg_cytd,2,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,glucose(2),NH4Cl(1),O2,sauer trace element mixture,cytidine (1mM) + arginine (5mM),,0.67,,,p1k_00001;p1k_00002,HiSeq 4000,PAIRED,ILLUMINA,2,,,,,s3://precise-db/raw_data/misc2/PAL009_S36_L002_R1_001.fastq.gz,s3://precise-db/raw_data/misc2/PAL009_S36_L002_R2_001.fastq.gz,Anand Sastry,Sibei Xu,TRUE,TRUE,TRUE,TRUE,misc2:arg_cytd,TRUE,TRUE,10/17/18
p1k_00279,misc2__delyheO_pyr__1,Miscellaneous #2,misc2,delyheO_pyr,1,Escherichia coli K-12 MG1655 del_yheO,MG1655,Batch,No,M9,37,7,pyruvate(3.3),NH4Cl(1),O2,sauer trace element mixture,,,0.302,,,p1k_00001;p1k_00002,HiSeq 4000,PAIRED,ILLUMINA,2,,,,,s3://precise-db/raw_data/misc2/PAL003_S30_L002_R1_001.fastq.gz,s3://precise-db/raw_data/misc2/PAL003_S30_L002_R2_001.fastq.gz,Anand Sastry,Sibei Xu,TRUE,TRUE,TRUE,TRUE,misc2:delyheO_pyr,TRUE,TRUE,10/17/18
p1k_00280,misc2__delyheO_pyr__2,Miscellaneous #2,misc2,delyheO_pyr,2,Escherichia coli K-12 MG1655 del_yheO,MG1655,Batch,No,M9,37,7,pyruvate(3.3),NH4Cl(1),O2,sauer trace element mixture,,,0.302,,,p1k_00001;p1k_00002,HiSeq 4000,PAIRED,ILLUMINA,2,,,,,s3://precise-db/raw_data/misc2/PAL004_S31_L002_R1_001.fastq.gz,s3://precise-db/raw_data/misc2/PAL004_S31_L002_R2_001.fastq.gz,Anand Sastry,Sibei Xu,TRUE,TRUE,TRUE,TRUE,misc2:delyheO_pyr,TRUE,TRUE,10/17/18
p1k_00281,misc2__dellon_glc__1,Miscellaneous #2,misc2,dellon_glc,1,Escherichia coli K-12 MG1655 del_lon,MG1655,Batch,No,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,,,p1k_00001;p1k_00002,NovaSeq,PAIRED,ILLUMINA,2,,,,,s3://precise-db/raw_data/misc2/EEP_HRS_lon-KO_a_S31_L001_R1_001.fastq.gz,s3://precise-db/raw_data/misc2/EEP_HRS_lon-KO_a_S31_L001_R2_001.fastq.gz,Anand Sastry,Amitesh Anand,TRUE,TRUE,TRUE,TRUE,misc2:dellon_glc,TRUE,TRUE,5/19/20
p1k_00282,misc2__dellon_glc__2,Miscellaneous #2,misc2,dellon_glc,2,Escherichia coli K-12 MG1655 del_lon,MG1655,Batch,No,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,,,p1k_00001;p1k_00002,NovaSeq,PAIRED,ILLUMINA,2,,,,,s3://precise-db/raw_data/misc2/EEP_HRS_lon-KO_b_S32_L001_R1_001.fastq.gz,s3://precise-db/raw_data/misc2/EEP_HRS_lon-KO_b_S32_L001_R2_001.fastq.gz,Anand Sastry,Amitesh Anand,TRUE,TRUE,TRUE,TRUE,misc2:dellon_glc,TRUE,TRUE,5/19/20
p1k_00283,nquinone__delubiC__1,Naphthoquinone,nquinone,delubiC,1,Escherichia coli K-12 MG1655 del_ubiC,MG1655,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Clonal,,p1k_00283;p1k_00284,HiSeq 4000,PAIRED,ILLUMINA,2,doi.org/10.1073/pnas.1909987116,GSE135867,SRX6720206,SRR9972884,s3://precise-db/raw_data/nquinone/HRS_QN5A_S23_L003_R1_001.fastq.gz,s3://precise-db/raw_data/nquinone/HRS_QN5A_S23_L003_R2_001.fastq.gz,Amitesh Anand,Amitesh Anand,TRUE,TRUE,TRUE,TRUE,nquinone:delubiC,TRUE,TRUE,5/21/18
p1k_00284,nquinone__delubiC__2,Naphthoquinone,nquinone,delubiC,2,Escherichia coli K-12 MG1655 del_ubiC,MG1655,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Clonal,,p1k_00283;p1k_00284,HiSeq 4000,PAIRED,ILLUMINA,2,doi.org/10.1073/pnas.1909987116,GSE135867,SRX6720207,SRR9972885,s3://precise-db/raw_data/nquinone/HRS_QN5B_S24_L003_R1_001.fastq.gz,s3://precise-db/raw_data/nquinone/HRS_QN5B_S24_L003_R2_001.fastq.gz,Amitesh Anand,Amitesh Anand,TRUE,TRUE,TRUE,TRUE,nquinone:delubiC,TRUE,TRUE,5/21/18
p1k_00285,nquinone__ubiC_ale1__1,Naphthoquinone,nquinone,ubiC_ale1,1,Escherichia coli EEP_ubiC.1.52.1,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Clonal,,p1k_00283;p1k_00284,HiSeq 4000,PAIRED,ILLUMINA,2,doi.org/10.1073/pnas.1909987116,GSE135867,SRX6720208,SRR9972886,s3://precise-db/raw_data/nquinone/HRS_QN6A_S34_L003_R1_001.fastq.gz,s3://precise-db/raw_data/nquinone/HRS_QN6A_S34_L003_R2_001.fastq.gz,Amitesh Anand,Amitesh Anand,TRUE,TRUE,TRUE,TRUE,nquinone:ubiC_ale1,TRUE,TRUE,5/21/18
p1k_00286,nquinone__ubiC_ale1__2,Naphthoquinone,nquinone,ubiC_ale1,2,Escherichia coli EEP_ubiC.1.52.1,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Clonal,,p1k_00283;p1k_00284,HiSeq 4000,PAIRED,ILLUMINA,2,doi.org/10.1073/pnas.1909987116,GSE135867,SRX6720209,SRR9972887,s3://precise-db/raw_data/nquinone/HRS_QN6B_S71_L004_R1_001.fastq.gz,s3://precise-db/raw_data/nquinone/HRS_QN6B_S71_L004_R2_001.fastq.gz,Amitesh Anand,Amitesh Anand,TRUE,TRUE,TRUE,TRUE,nquinone:ubiC_ale1,TRUE,TRUE,5/21/18
p1k_00287,nquinone__ubiC_ale2__1,Naphthoquinone,nquinone,ubiC_ale2,1,Escherichia coli EEP_ubiC.2.54.1,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Clonal,,p1k_00283;p1k_00284,HiSeq 4000,PAIRED,ILLUMINA,2,doi.org/10.1073/pnas.1909987116,GSE135867,SRX6720210,SRR9972888,s3://precise-db/raw_data/nquinone/HRS_QN7A_S25_L003_R1_001.fastq.gz,s3://precise-db/raw_data/nquinone/HRS_QN7A_S25_L003_R2_001.fastq.gz,Amitesh Anand,Amitesh Anand,TRUE,TRUE,TRUE,TRUE,nquinone:ubiC_ale2,TRUE,TRUE,5/21/18
p1k_00288,nquinone__ubiC_ale2__2,Naphthoquinone,nquinone,ubiC_ale2,2,Escherichia coli EEP_ubiC.2.54.1,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Clonal,,p1k_00283;p1k_00284,HiSeq 4000,PAIRED,ILLUMINA,2,doi.org/10.1073/pnas.1909987116,GSE135867,SRX6720211,SRR9972889,s3://precise-db/raw_data/nquinone/HRS_QN7B_S26_L003_R1_001.fastq.gz,s3://precise-db/raw_data/nquinone/HRS_QN7B_S26_L003_R2_001.fastq.gz,Amitesh Anand,Amitesh Anand,TRUE,TRUE,TRUE,TRUE,nquinone:ubiC_ale2,TRUE,TRUE,5/21/18
p1k_00289,nquinone__ubiC_ale3__1,Naphthoquinone,nquinone,ubiC_ale3,1,Escherichia coli EEP_ubiC.3.53.1,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Clonal,,p1k_00283;p1k_00284,HiSeq 4000,PAIRED,ILLUMINA,2,,,,,s3://precise-db/raw_data/nquinone/HRS_QN8A_S27_L003_R1_001.fastq.gz,s3://precise-db/raw_data/nquinone/HRS_QN8A_S27_L003_R2_001.fastq.gz,Amitesh Anand,Amitesh Anand,TRUE,TRUE,TRUE,TRUE,nquinone:ubiC_ale3,TRUE,TRUE,5/21/18
p1k_00290,nquinone__ubiC_ale3__2,Naphthoquinone,nquinone,ubiC_ale3,2,Escherichia coli EEP_ubiC.3.53.1,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Clonal,,p1k_00283;p1k_00284,HiSeq 4000,PAIRED,ILLUMINA,2,,,,,s3://precise-db/raw_data/nquinone/HRS_QN8B_S28_L003_R1_001.fastq.gz,s3://precise-db/raw_data/nquinone/HRS_QN8B_S28_L003_R2_001.fastq.gz,Amitesh Anand,Amitesh Anand,TRUE,TRUE,TRUE,TRUE,nquinone:ubiC_ale3,TRUE,TRUE,5/21/18
p1k_00291,nquinone__ubiC_ale4__1,Naphthoquinone,nquinone,ubiC_ale4,1,Escherichia coli EEP_ubiC.4.52.1,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Clonal,,p1k_00283;p1k_00284,HiSeq 4000,PAIRED,ILLUMINA,2,doi.org/10.1073/pnas.1909987116,GSE135867,SRX6720212,SRR9972890,s3://precise-db/raw_data/nquinone/HRS_QN9A_S75_L004_R1_001.fastq.gz,s3://precise-db/raw_data/nquinone/HRS_QN9A_S75_L004_R2_001.fastq.gz,Amitesh Anand,Amitesh Anand,TRUE,TRUE,TRUE,TRUE,nquinone:ubiC_ale4,TRUE,TRUE,5/21/18
p1k_00292,nquinone__ubiC_ale4__2,Naphthoquinone,nquinone,ubiC_ale4,2,Escherichia coli EEP_ubiC.4.52.1,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Clonal,,p1k_00283;p1k_00284,HiSeq 4000,PAIRED,ILLUMINA,2,doi.org/10.1073/pnas.1909987116,GSE135867,SRX6720213,SRR9972891,s3://precise-db/raw_data/nquinone/HRS_QN9B_S69_L004_R1_001.fastq.gz,s3://precise-db/raw_data/nquinone/HRS_QN9B_S69_L004_R2_001.fastq.gz,Amitesh Anand,Amitesh Anand,TRUE,TRUE,TRUE,TRUE,nquinone:ubiC_ale4,TRUE,TRUE,5/21/18
p1k_00293,nquinone__delpdhR__1,Naphthoquinone,nquinone,delpdhR,1,Escherichia coli del_pdhR,MG1655,Batch,No,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,0.7,,,p1k_00283;p1k_00284,HiSeq 4000,PAIRED,ILLUMINA,2,doi.org/10.1073/pnas.1909987116,GSE135867,SRX6720214,SRR9972892,s3://precise-db/raw_data/nquinone/EEP_HRS_pdhR_1_aerobic_08072018_S33_L008_R1_001.fastq.gz,s3://precise-db/raw_data/nquinone/EEP_HRS_pdhR_1_aerobic_08072018_S33_L008_R2_001.fastq.gz,Amitesh Anand,Amitesh Anand,TRUE,TRUE,TRUE,TRUE,nquinone:delpdhR,TRUE,TRUE,8/7/18
p1k_00294,nquinone__delpdhR__2,Naphthoquinone,nquinone,delpdhR,2,Escherichia coli del_pdhR,MG1655,Batch,No,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,0.7,,,p1k_00283;p1k_00284,HiSeq 4000,PAIRED,ILLUMINA,2,doi.org/10.1073/pnas.1909987116,GSE135867,SRX6720215,SRR9972893,s3://precise-db/raw_data/nquinone/EEP_HRS_pdhR_2_aerobic_08072018_S34_L008_R1_001.fastq.gz,s3://precise-db/raw_data/nquinone/EEP_HRS_pdhR_2_aerobic_08072018_S34_L008_R2_001.fastq.gz,Amitesh Anand,Amitesh Anand,TRUE,TRUE,TRUE,TRUE,nquinone:delpdhR,TRUE,TRUE,8/7/18
p1k_00295,quinone__glu_ale4__1,Respiratory quinone,quinone,glu_ale4,1,Escherichia coli GLU.4.403.1,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Clonal,,p1k_00295;p1k_00296,HiSeq 4000,PAIRED,ILLUMINA,2,,,,,s3://precise-db/raw_data/quinone/HRS_QN3A_S19_L003_R1_001.fastq.gz,s3://precise-db/raw_data/quinone/HRS_QN3A_S19_L003_R2_001.fastq.gz,Amitesh Anand,Amitesh Anand,TRUE,TRUE,TRUE,TRUE,quinone:glu_ale4,TRUE,TRUE,5/21/18
p1k_00296,quinone__glu_ale4__2,Respiratory quinone,quinone,glu_ale4,2,Escherichia coli GLU.4.403.1,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Clonal,,p1k_00295;p1k_00296,HiSeq 4000,PAIRED,ILLUMINA,2,,,,,s3://precise-db/raw_data/quinone/HRS_QN3B_S20_L003_R1_001.fastq.gz,s3://precise-db/raw_data/quinone/HRS_QN3B_S20_L003_R2_001.fastq.gz,Amitesh Anand,Amitesh Anand,TRUE,TRUE,TRUE,TRUE,quinone:glu_ale4,TRUE,TRUE,5/21/18
